ma_bn,ho_ten,ngay_sinh,gioi_tinh,dia_chi,sdt,cccd,bhyt,tien_su_benh_an,di_ung_thuoc,thoi_diem_dang_ky_he_thong,lich_su_kham_benh
BN0001,Nguyễn Văn An,1985-05-10,Nam,"123 Đường ABC, Quận 1, TP.HCM","0908123456","001085000111","AB123456789","Tiểu đường type 2","Penicillin","2025-05-28 10:15:30","2025-05-20;Khám tổng quát;Ổn định;BS001;PK001|2025-05-28;Tái khám tiểu đường;Đường huyết 5.8;BS002;PK001"
BN0002,Trần Thị Bình,1992-11-20,Nữ,"456 Đường XYZ, Quận 3, TP.HCM","0908654321","001192000222","CD987654321","Không có tiền sử đáng kể","Không có","2025-05-29 14:20:05","2025-05-29;Đau đầu, chóng mặt;Theo dõi huyết áp;BS003;PK002"
BN0003,Lê Văn Cường,1970-01-15,Nam,"789 Đường KLM, Quận 5, TP.HCM","0912345678","001070000333","EF112233445","Cao huyết áp","Sulfonamide","2025-05-30 08:05:10",""
BN0004,Phạm Thị Dung,2001-07-22,Nữ,"111 Phố PQR, Quận Hoàn Kiếm, Hà Nội","0987123456","001201000444","GH556677889","Hen suyễn","Aspirin","2025-05-30 09:30:00","2025-05-30;Khám định kỳ hen;Ổn định;BS001;PK003"
BN0005,Hoàng Văn Em,1965-03-03,Nam,"222 Ngõ STU, Quận Hai Bà Trưng, Hà Nội","0933112233","001065000555","IK334455667","Gout","Không rõ","2025-05-30 11:00:45",""
BN0006,Vũ Thị Mai,1988-09-12,Nữ,"333 Đường Hoa Lan, Quận Phú Nhuận, TP.HCM","0918765432","001188000666","LM223344556","Viêm xoang mãn tính","Paracetamol (hiếm)","2025-05-30 11:15:20","2025-05-15;Khám tai mũi họng;Viêm xoang cấp;BS004;PK002"
BN0007,Đặng Văn Phúc,1975-12-01,Nam,"55 Phố Huế, Quận Hoàn Kiếm, Hà Nội","0903456789","001075000777","NP445566778","Đau dạ dày","Không có","2025-05-30 11:30:55",""
BN0008,Bùi Thị Thanh,1995-06-25,Nữ,"77 Đường Cầu Giấy, Quận Cầu Giấy, Hà Nội","0988123789","001195000888","QR667788990","Không có","Không có","2025-05-30 11:45:10","2025-05-30;Kiểm tra sức khỏe tổng quát;Bình thường;BS002;PK001"
BN0009,Ngô Văn Hùng,1980-02-18,Nam,"12 Calmette, Quận 1, TP.HCM","0907777888","001080000999","ST778899001","Thoái hóa khớp gối","Ibuprofen","2025-05-30 12:00:00","2025-05-22;Tái khám khớp;Đỡ đau;BS005;PK004"
BN0010,Hồ Thị Lan,1990-10-30,Nữ,"99 Nguyễn Trãi, Quận Thanh Xuân, Hà Nội","0909999000","001190001010","UV889900112","Rối loạn tiền đình","Không rõ","2025-05-30 12:15:40",""
BN0011,Dương Văn Tuấn,1978-04-05,Nam,"23 Lê Lợi, Quận Hải Châu, Đà Nẵng","0911234511","048078001111","WX990011223","Sỏi thận","Không có","2025-05-30 13:00:05","2025-05-10;Siêu âm bụng;Sỏi thận phải 5mm;BS001;PK003"
BN0012,Lý Thị Ngọc,1982-08-15,Nữ,"45 Quang Trung, Quận Hồng Bàng, Hải Phòng","0922345612","031082001212","YZ001122334","Viêm gan B mãn tính","Interferon","2025-05-30 13:10:20",""
BN0013,Trương Văn Mạnh,1999-01-20,Nam,"67 Trần Phú, Quận Ba Đình, Hà Nội","0933456713","001199001313","AB112233445","Không có","Không có","2025-05-30 13:20:30",""
BN0014,Đinh Thị Hoa,1973-07-07,Nữ,"89 Hàng Bài, Quận Hoàn Kiếm, Hà Nội","0944567814","001073001414","CD223344556","Loãng xương","Không có","2025-05-30 13:30:40","2025-05-30;Đo mật độ xương;Loãng xương nhẹ;BS003;PK001"
BN0015,Phan Văn Hải,1986-11-23,Nam,"101 Võ Văn Tần, Quận 3, TP.HCM","0955678915","001086001515","EF334455667","Trĩ nội","Không rõ","2025-05-30 13:40:50",""
BN0016,Hoàng Thị Kim Anh,1993-02-28,Nữ,"112 Nguyễn Văn Cừ, Quận Long Biên, Hà Nội","0966789016","001193001616","GH445566778","Thiếu máu do thiếu sắt","Không có","2025-05-30 13:50:00","2025-05-15;Xét nghiệm máu;Thiếu sắt;BS002;PK002"
BN0017,Võ Văn Tài,1977-09-09,Nam,"123 Pasteur, Quận 1, TP.HCM","0977890117","001077001717","IK556677889","Viêm khớp dạng thấp","Methotrexate","2025-05-30 14:00:10",""
BN0018,Đỗ Thị Thu Thảo,1989-05-19,Nữ,"134 Bà Triệu, Quận Hai Bà Trưng, Hà Nội","0988901218","001089001818","LM667788990","Không có","Không có","2025-05-30 14:10:20",""
BN0019,Nguyễn Thanh Tùng,1996-12-24,Nam,"145 Nguyễn Chí Thanh, Quận Đống Đa, Hà Nội","0912301219","001196001919","NP778899001","Mụn trứng cá nặng","Isotretinoin (trước đây)","2025-05-30 14:20:30","2025-05-30;Khám da liễu;Mụn giảm;BS005;PK004"
BN0020,Lê Minh Châu,1983-03-17,Nữ,"156 Lý Thường Kiệt, Quận Tân Bình, TP.HCM","0903401220","001083002020","QR889900112","U xơ tử cung","Không có","2025-05-30 14:30:40","2025-04-01;Siêu âm phụ khoa;U xơ kích thước cũ;BS006;PK005"
